Country Name,Country Code,Country ID
Afghanistan,AFG,1
Albania,ALB,2
Algeria,DZA,3
American Samoa,ASM,4
Andorra,AND,5
Angola,AGO,6
Antigua and Barbuda,ATG,7
Argentina,ARG,8
Armenia,ARM,9
Aruba,ABW,10
Australia,AUS,11
Austria,AUT,12
Azerbaijan,AZE,13
"Bahamas, The",BHS,14
Bahrain,BHR,15
Bangladesh,BGD,16
Barbados,BRB,17
Belarus,BLR,18
Belgium,BEL,19
Belize,BLZ,20
Benin,BEN,21
Bermuda,BMU,22
Bhutan,BTN,23
Bolivia,BOL,24
Bosnia and Herzegovina,BIH,25
Botswana,BWA,26
Brazil,BRA,27
British Virgin Islands,VGB,28
Brunei Darussalam,BRN,29
Bulgaria,BGR,30
Burkina Faso,BFA,31
Burundi,BDI,32
Cabo Verde,CPV,33
Cambodia,KHM,34
Cameroon,CMR,35
Canada,CAN,36
Cayman Islands,CYM,37
Central African Republic,CAF,38
Chad,TCD,39
Channel Islands,CHI,40
Chile,CHL,41
China,CHN,42
Colombia,COL,43
Comoros,COM,44
"Congo, Dem. Rep.",COD,45
"Congo, Rep.",COG,46
Costa Rica,CRI,47
Cote d'Ivoire,CIV,48
Croatia,HRV,49
Cuba,CUB,50
Curacao,CUW,51
Cyprus,CYP,52
Czechia,CZE,53
Denmark,DNK,54
Djibouti,DJI,55
Dominica,DMA,56
Dominican Republic,DOM,57
Ecuador,ECU,58
"Egypt, Arab Rep.",EGY,59
El Salvador,SLV,60
Equatorial Guinea,GNQ,61
Eritrea,ERI,62
Estonia,EST,63
Eswatini,SWZ,64
Ethiopia,ETH,65
Faroe Islands,FRO,66
Fiji,FJI,67
Finland,FIN,68
France,FRA,69
French Polynesia,PYF,70
Gabon,GAB,71
"Gambia, The",GMB,72
Georgia,GEO,73
Germany,DEU,74
Ghana,GHA,75
Gibraltar,GIB,76
Greece,GRC,77
Greenland,GRL,78
Grenada,GRD,79
Guam,GUM,80
Guatemala,GTM,81
Guinea,GIN,82
Guinea-Bissau,GNB,83
Guyana,GUY,84
Haiti,HTI,85
Honduras,HND,86
"Hong Kong SAR, China",HKG,87
Hungary,HUN,88
Iceland,ISL,89
India,IND,90
Indonesia,IDN,91
"Iran, Islamic Rep.",IRN,92
Iraq,IRQ,93
Ireland,IRL,94
Isle of Man,IMN,95
Israel,ISR,96
Italy,ITA,97
Jamaica,JAM,98
Japan,JPN,99
Jordan,JOR,100
Kazakhstan,KAZ,101
Kenya,KEN,102
Kiribati,KIR,103
"Korea, Dem. People's Rep.",PRK,104
"Korea, Rep.",KOR,105
Kosovo,XKX,106
Kuwait,KWT,107
Kyrgyz Republic,KGZ,108
Lao PDR,LAO,109
Latvia,LVA,110
Lebanon,LBN,111
Lesotho,LSO,112
Liberia,LBR,113
Libya,LBY,114
Liechtenstein,LIE,115
Lithuania,LTU,116
Luxembourg,LUX,117
"Macao SAR, China",MAC,118
Madagascar,MDG,119
Malawi,MWI,120
Malaysia,MYS,121
Maldives,MDV,122
Mali,MLI,123
Malta,MLT,124
Marshall Islands,MHL,125
Mauritania,MRT,126
Mauritius,MUS,127
Mexico,MEX,128
"Micronesia, Fed. Sts.",FSM,129
Moldova,MDA,130
Monaco,MCO,131
Mongolia,MNG,132
Montenegro,MNE,133
Morocco,MAR,134
Mozambique,MOZ,135
Myanmar,MMR,136
Namibia,NAM,137
Nauru,NRU,138
Nepal,NPL,139
Netherlands,NLD,140
New Caledonia,NCL,141
New Zealand,NZL,142
Nicaragua,NIC,143
Niger,NER,144
Nigeria,NGA,145
North Macedonia,MKD,146
Northern Mariana Islands,MNP,147
Norway,NOR,148
Oman,OMN,149
Pakistan,PAK,150
Palau,PLW,151
Panama,PAN,152
Papua New Guinea,PNG,153
Paraguay,PRY,154
Peru,PER,155
Philippines,PHL,156
Poland,POL,157
Portugal,PRT,158
Puerto Rico,PRI,159
Qatar,QAT,160
Romania,ROU,161
Russian Federation,RUS,162
Rwanda,RWA,163
Samoa,WSM,164
San Marino,SMR,165
Sao Tome and Principe,STP,166
Saudi Arabia,SAU,167
Senegal,SEN,168
Serbia,SRB,169
Seychelles,SYC,170
Sierra Leone,SLE,171
Singapore,SGP,172
Sint Maarten (Dutch part),SXM,173
Slovak Republic,SVK,174
Slovenia,SVN,175
Solomon Islands,SLB,176
Somalia,SOM,177
South Africa,ZAF,178
South Sudan,SSD,179
Spain,ESP,180
Sri Lanka,LKA,181
St. Kitts and Nevis,KNA,182
St. Lucia,LCA,183
St. Martin (French part),MAF,184
St. Vincent and the Grenadines,VCT,185
Sudan,SDN,186
Suriname,SUR,187
Sweden,SWE,188
Switzerland,CHE,189
Syrian Arab Republic,SYR,190
Tajikistan,TJK,191
Tanzania,TZA,192
Thailand,THA,193
Timor-Leste,TLS,194
Togo,TGO,195
Tonga,TON,196
Trinidad and Tobago,TTO,197
Tunisia,TUN,198
Turkiye,TUR,199
Turkmenistan,TKM,200
Turks and Caicos Islands,TCA,201
Tuvalu,TUV,202
