Country Name,Country Code,Series Name,Series Code,Year,Value
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,2000,3521418059.92345
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,174.930991430166
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Afghanistan,AFG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Afghanistan,AFG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,
Afghanistan,AFG,Lending interest rate (%),FR.INR.LEND,2000,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2000,3480355258.04122
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1126.68334010717
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,0.0500181363468238
Albania,ALB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,1122051223.3
Albania,ALB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,646305676.491804
Albania,ALB,Lending interest rate (%),FR.INR.LEND,2000,22.1025
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2000,54790398570.3282
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1772.92869122761
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,0.339163189071768
Algeria,DZA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,25461612754.1
Algeria,DZA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,13556106802.2149
Algeria,DZA,Lending interest rate (%),FR.INR.LEND,2000,10.0
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,2000,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
American Samoa,ASM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
American Samoa,ASM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,
American Samoa,ASM,Lending interest rate (%),FR.INR.LEND,2000,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2000,1432606188.69324
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,21810.2487431414
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Andorra,AND,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Andorra,AND,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,
Andorra,AND,Lending interest rate (%),FR.INR.LEND,2000,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,2000,9129594970.15301
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,563.733795571487
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,324.996871601321
Angola,AGO,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,9763465564.4
Angola,AGO,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,1198212373.02401
Angola,AGO,Lending interest rate (%),FR.INR.LEND,2000,103.160174166667
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,2000,900551851.851852
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,12021.463208189
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,0.77177979690018
Antigua and Barbuda,ATG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Antigua and Barbuda,ATG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,63558884.5284907
Antigua and Barbuda,ATG,Lending interest rate (%),FR.INR.LEND,2000,12.1715539440033
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,2000,284203750000.0
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,7637.01489203628
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,150062928187.3
Argentina,ARG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,25152117244.4134
Argentina,ARG,Lending interest rate (%),FR.INR.LEND,2000,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,2000,1911563668.85006
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,593.450581742282
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,-0.790883768934757
Armenia,ARM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,1018418173.9
Armenia,ARM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,314200332.802208
Armenia,ARM,Lending interest rate (%),FR.INR.LEND,2000,31.5660003908333
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2000,1873452513.96648
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,20681.0230269625
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,4.04402131190513
Aruba,ABW,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Aruba,ABW,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,235455000.0
Aruba,ABW,Lending interest rate (%),FR.INR.LEND,2000,12.0666666666667
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,2000,416167815092.908
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,21870.4159669594
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,4.45743514797224
Australia,AUS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Australia,AUS,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,18821546023.5147
Australia,AUS,Lending interest rate (%),FR.INR.LEND,2000,7.71666666666667
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,2000,196181599831.287
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,24487.2974685956
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,2.34486285357282
Austria,AUT,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Austria,AUT,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,17649557521.9085
Austria,AUT,Lending interest rate (%),FR.INR.LEND,2000,
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,2000,5272615722.96892
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,655.097249579917
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,1.80500303704356
Azerbaijan,AZE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,1585215993.3
Azerbaijan,AZE,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,679605504.08201
Azerbaijan,AZE,Lending interest rate (%),FR.INR.LEND,2000,19.6558333333333
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,2000,8076470000.0
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,24940.0775086078
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,1.60632941740579
"Bahamas, The",BHS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
"Bahamas, The",BHS,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,349644583.160698
"Bahamas, The",BHS,Lending interest rate (%),FR.INR.LEND,2000,6.0
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,2000,9062898936.17021
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,14214.4836839343
Bahrain,BHR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,-0.70485295309079
Bahrain,BHR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Bahrain,BHR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,1605306697.72147
Bahrain,BHR,Lending interest rate (%),FR.INR.LEND,2000,11.6028971962617
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,2000,53369787318.6245
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,396.670730249751
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,2.20825620937535
Bangladesh,BGD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,15600564697.1
Bangladesh,BGD,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,1515788656.4122
Bangladesh,BGD,Lending interest rate (%),FR.INR.LEND,2000,12.755
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2000,3059500000.0
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,11674.6736471764
Barbados,BRB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,2.43581303489137
Barbados,BRB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Barbados,BRB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,472693479.363243
Barbados,BRB,Lending interest rate (%),FR.INR.LEND,2000,10.1875
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,2000,12736780455.1539
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1276.28038121269
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,168.620235850933
Belarus,BLR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,2620196263.4
Belarus,BLR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,350495841.300002
Belarus,BLR,Lending interest rate (%),FR.INR.LEND,2000,67.6666666666667
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,2000,236792460312.471
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,23098.8865077401
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,2.54451776190908
Belgium,BEL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Belgium,BEL,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,12271745172.0013
Belgium,BEL,Lending interest rate (%),FR.INR.LEND,2000,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2000,1138900000.0
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,4729.67080428075
Belize,BLZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,3.06743966930585
Belize,BLZ,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,629903800.8
Belize,BLZ,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,122898988.202728
Belize,BLZ,Lending interest rate (%),FR.INR.LEND,2000,16.005
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,2000,3519991440.47913
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,487.424141384242
Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,4.16540442290284
Benin,BEN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,1504156540.8
Benin,BEN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,
Benin,BEN,Lending interest rate (%),FR.INR.LEND,2000,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,2000,3480219000.0
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,56542.9569455727
Bermuda,BMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Bermuda,BMU,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
Bermuda,BMU,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,
Bermuda,BMU,Lending interest rate (%),FR.INR.LEND,2000,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2000,460733418.399276
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,771.924911410619
Bhutan,BTN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,4.01212081070342
Bhutan,BTN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,211571982.8
Bhutan,BTN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,317632400.62607
Bhutan,BTN,Lending interest rate (%),FR.INR.LEND,2000,16.0
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,2000,8397855484.76908
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,975.777060358751
Bolivia,BOL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,4.60822998872598
Bolivia,BOL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,5892765188.4
Bolivia,BOL,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,1184108227.67537
Bolivia,BOL,Lending interest rate (%),FR.INR.LEND,2000,34.5958333333333
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,2000,5567772768.81188
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1338.48059636261
Bosnia and Herzegovina,BIH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Bosnia and Herzegovina,BIH,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,2791207814.6
Bosnia and Herzegovina,BIH,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,496626475.424899
Bosnia and Herzegovina,BIH,Lending interest rate (%),FR.INR.LEND,2000,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,2000,5788329609.15755
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,3450.81180622992
Botswana,BWA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,8.60148514851491
Botswana,BWA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,452434627.4
Botswana,BWA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,6318214000.31791
Botswana,BWA,Lending interest rate (%),FR.INR.LEND,2000,15.4791666666667
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2000,655448231983.527
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,3766.54811466032
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,7.04414105947266
Brazil,BRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,242511685521.8
Brazil,BRA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,2000,33015297295.6899
Brazil,BRA,Lending interest rate (%),FR.INR.LEND,2000,56.83
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,2000,
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,
British Virgin Islands,VGB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
British Virgin Islands,VGB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2000,
